Sklenjene zakonske zveze po: REGIJI PREBIVALIŠÈA ŽENINA IN NEVESTE;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
 ;2014; ; ; ; ; ; ; ; ; ; ; ; 
 ;SLOVENIJA - ženin;Pomurska - ženin;Podravska - ženin;Koroška - ženin;Savinjska - ženin;Zasavska - ženin;Spodnjeposavska - ženin;Jugovzhodna Slovenija - ženin;Osrednjeslovenska - ženin;Gorenjska - ženin;Notranjsko kraška - ?enin;Goriška - ženin;Obalno kraška - ženin
SLOVENIJA - nevesta;6571;336;986;229;773;151;253;438;1839;698;159;356;353
Pomurska - nevesta;350;317;15;1;6;0;0;0;9;0;2;0;0
Podravska - nevesta;1000;11;924;13;15;2;2;6;20;4;1;1;1
Koroška - nevesta;231;0;8;201;7;0;0;1;7;4;0;1;2
Savinjska - nevesta;758;2;16;3;683;8;6;4;24;8;1;0;3
Zasavska - nevesta;138;0;0;0;6;124;1;0;6;0;0;1;0
Spodnjeposavska - nevesta;257;0;1;0;8;3;219;10;11;4;0;0;1
Jugovzhodna Slovenija - nevesta;439;1;3;0;8;1;10;367;39;4;1;3;2
Osrednjeslovenska - nevesta;1854;4;14;8;29;9;12;45;1626;50;18;22;17
Gorenjska - nevesta;694;1;2;1;7;4;1;2;47;611;3;10;5
Notranjsko kraška - nevesta;154;0;2;0;1;0;0;1;13;4;123;4;6
Goriška - nevesta;353;0;0;0;1;0;1;1;17;4;8;312;9
Obalno kraška - nevesta;343;0;1;2;2;0;1;1;20;5;2;2;307
