Sklenitve prvih zakonskih zvez po: STAROSTNE SKUPINE ŽENINA IN NEVESTE PO LETIH;;;;;;;;
;;;;;;;;
;;;;;;;;
 ;2014; ; ; ; ; ; ; 
 ;Pod 20 let - nevesta;20-24 let - nevesta;25-29 let - nevesta;30-34 let - nevesta;35-39 let - nevesta;40-44 let - nevesta;45-49 let - nevesta;50 let ali veè - nevesta
Pod 20 let - ženin;11;5;4;0;0;0;0;0
20-24 let - ženin;44;254;86;12;5;1;0;0
25-29 let - ženin;31;437;1123;227;22;4;1;1
30-34 let - ženin;4;131;798;684;123;17;2;1
35-39 let - ženin;5;25;186;426;272;40;5;0
40-44 let - ženin;0;3;45;88;134;78;8;7
45-49 let - ženin;1;5;4;18;24;32;12;3
50 let ali veè - ženin;1;1;0;7;18;13;22;28
