"Osnovni podatki o razvezah zakonskih zvez (absolutni podatki in"
"kazalniki) po: STATISTIÈNA REGIJA, LETO , MERITVE"

" ";" ";"Razveze zakonskih zvez"
"Pomurska"
" ";"1995";60
" ";"1996";107
" ";"1997";75
" ";"1998";67
" ";"1999";129
" ";"2000";82
" ";"2001";97
" ";"2002";127
" ";"2003";122
" ";"2004";109
" ";"2005";115
" ";"2006";132
" ";"2007";113
" ";"2008";129
" ";"2009";121
" ";"2010";133
" ";"2011";123
" ";"2012";109
" ";"2013";125
"Podravska"
" ";"1995";323
" ";"1996";354
" ";"1997";346
" ";"1998";341
" ";"1999";318
" ";"2000";360
" ";"2001";350
" ";"2002";416
" ";"2003";391
" ";"2004";414
" ";"2005";453
" ";"2006";403
" ";"2007";374
" ";"2008";373
" ";"2009";390
" ";"2010";393
" ";"2011";363
" ";"2012";383
" ";"2013";377
"Koroška"
" ";"1995";59
" ";"1996";37
" ";"1997";58
" ";"1998";58
" ";"1999";54
" ";"2000";46
" ";"2001";42
" ";"2002";56
" ";"2003";68
" ";"2004";92
" ";"2005";60
" ";"2006";61
" ";"2007";66
" ";"2008";66
" ";"2009";63
" ";"2010";51
" ";"2011";54
" ";"2012";78
" ";"2013";72
"Savinjska"
" ";"1995";235
" ";"1996";232
" ";"1997";225
" ";"1998";234
" ";"1999";251
" ";"2000";239
" ";"2001";281
" ";"2002";290
" ";"2003";286
" ";"2004";304
" ";"2005";302
" ";"2006";304
" ";"2007";322
" ";"2008";285
" ";"2009";297
" ";"2010";322
" ";"2011";252
" ";"2012";276
" ";"2013";267
"Zasavska"
" ";"1995";37
" ";"1996";52
" ";"1997";38
" ";"1998";39
" ";"1999";41
" ";"2000";52
" ";"2001";52
" ";"2002";63
" ";"2003";49
" ";"2004";52
" ";"2005";73
" ";"2006";33
" ";"2007";63
" ";"2008";47
" ";"2009";41
" ";"2010";50
" ";"2011";46
" ";"2012";49
" ";"2013";40
"Spodnjeposavska"
" ";"1995";40
" ";"1996";67
" ";"1997";69
" ";"1998";59
" ";"1999";67
" ";"2000";78
" ";"2001";57
" ";"2002";66
" ";"2003";72
" ";"2004";60
" ";"2005";75
" ";"2006";77
" ";"2007";70
" ";"2008";70
" ";"2009";69
" ";"2010";91
" ";"2011";73
" ";"2012";95
" ";"2013";75
"Jugovzhodna Slovenija"
" ";"1995";94
" ";"1996";120
" ";"1997";111
" ";"1998";128
" ";"1999";90
" ";"2000";127
" ";"2001";129
" ";"2002";164
" ";"2003";121
" ";"2004";137
" ";"2005";159
" ";"2006";151
" ";"2007";166
" ";"2008";146
" ";"2009";152
" ";"2010";153
" ";"2011";131
" ";"2012";185
" ";"2013";135
"Osrednjeslovenska"
" ";"1995";349
" ";"1996";616
" ";"1997";650
" ";"1998";631
" ";"1999";625
" ";"2000";615
" ";"2001";670
" ";"2002";694
" ";"2003";731
" ";"2004";620
" ";"2005";805
" ";"2006";533
" ";"2007";784
" ";"2008";555
" ";"2009";603
" ";"2010";666
" ";"2011";723
" ";"2012";751
" ";"2013";709
"Gorenjska"
" ";"1995";168
" ";"1996";157
" ";"1997";196
" ";"1998";241
" ";"1999";233
" ";"2000";239
" ";"2001";253
" ";"2002";257
" ";"2003";266
" ";"2004";251
" ";"2005";260
" ";"2006";266
" ";"2007";269
" ";"2008";237
" ";"2009";232
" ";"2010";254
" ";"2011";248
" ";"2012";223
" ";"2013";227
"Notranjsko-kraška"
" ";"1995";30
" ";"1996";35
" ";"1997";32
" ";"1998";41
" ";"1999";38
" ";"2000";41
" ";"2001";61
" ";"2002";43
" ";"2003";58
" ";"2004";62
" ";"2005";66
" ";"2006";61
" ";"2007";51
" ";"2008";54
" ";"2009";55
" ";"2010";49
" ";"2011";55
" ";"2012";68
" ";"2013";56
"Goriška"
" ";"1995";50
" ";"1996";91
" ";"1997";110
" ";"1998";110
" ";"1999";89
" ";"2000";109
" ";"2001";109
" ";"2002";114
" ";"2003";130
" ";"2004";115
" ";"2005";112
" ";"2006";141
" ";"2007";151
" ";"2008";120
" ";"2009";114
" ";"2010";118
" ";"2011";128
" ";"2012";105
" ";"2013";124
"Obalno-kraška"
" ";"1995";140
" ";"1996";136
" ";"1997";86
" ";"1998";125
" ";"1999";139
" ";"2000";137
" ";"2001";173
" ";"2002";167
" ";"2003";167
" ";"2004";195
" ";"2005";167
" ";"2006";172
" ";"2007";188
" ";"2008";164
" ";"2009";160
" ";"2010";150
" ";"2011";102
" ";"2012";187
" ";"2013";144

"Vir: Statistièni urad Republike Slovenije."

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji (The Classification  of "
"Territorial Units for Statistics) – NUTS ((seznam "
"HREF=../database/Meta/Klas/NUTS.htm TARGET=_blank) opis in "
"pojasnila), raven NUTS 3. "
"Opombe o spremembah posameznih regij so zapisane k vsaki spremenjeni "
"regiji in so ob izpisu tabele na zaslon dostopne s klikom na ikono za "
"opombe (zvezdica). V opombah je na zaèetku naveden datum, s katerim "
"je opisana teritorialna sprememba upoštevana pri teritorialnem "
"razvršèanju enot za statistiène namene.  "
" "

